Year,Week,Sex,Age,Deaths
2000,9,f,5,22.053423992229238
2000,9,f,10,23.055852355512386
2000,9,f,15,76.18455560951918
2000,9,f,20,122.29626032054395
2000,9,f,25,101.24526469159787
2000,9,f,30,138.3351141330743
2000,9,f,35,245.59494900437105
2000,9,f,40,399.9689169499757
2000,9,f,45,575.3938805245265
2000,9,f,50,691.6755706653715
2000,9,f,55,751.8212724623604
2000,9,f,60,1670.0456532297233
2000,9,f,65,2123.143273433706
2000,9,f,70,3573.6571151044195
2000,9,f,75,3515.516270033997
2000,9,f,80,2962.1758135017
2000,9,f,85,3558.6206896551726
2000,9,f,90,1530.7081107333656
2000,9,f,95,420.01748421563866
2000,9,f,TOT,22704.0
2000,9,f,UNK,55.0
2000,9,b,0,367.0
2000,9,b,1,97.0
2000,9,b,5,56.0
2000,9,b,10,83.0
2000,9,b,15,328.0
2000,9,b,20,596.0
2000,9,b,25,595.0
2000,9,b,30,668.0
2000,9,b,35,1226.0
2000,9,b,40,1759.0
2000,9,b,45,2312.0
2000,9,b,50,2494.0
2000,9,b,55,2289.0
2000,9,b,60,4735.0
2000,9,b,65,4970.0
2000,9,b,70,7036.0
2000,9,b,75,5165.0
2000,9,b,80,4025.0
2000,9,b,85,4433.0
2000,9,b,90,1828.0
2000,9,b,95,461.0
2000,9,b,TOT,45742.0
2000,9,b,UNK,219.0
2000,10,m,0,213.21719160104988
2000,10,m,1,70.4019028871391
2000,10,m,5,32.183727034120736
2000,10,m,10,45.25836614173228
2000,10,m,15,250.42962598425197
2000,10,m,20,489.79609580052494
2000,10,m,25,604.45062335958
2000,10,m,30,646.6917650918635
2000,10,m,35,1087.2065288713911
2000,10,m,40,1528.727034120735
2000,10,m,45,1886.770997375328
2000,10,m,50,2008.465715223097
2000,10,m,55,1733.8982939632547
2000,10,m,60,3372.251148293963
2000,10,m,65,2981.017716535433
2000,10,m,70,3488.9171587926508
2000,10,m,75,1716.8006889763778
2000,10,m,80,1101.286909448819
2000,10,m,85,918.2419619422573
2000,10,m,90,301.7224409448819
2000,10,m,95,46.26410761154855
2000,10,m,TOT,24524.0
2000,10,m,UNK,140.0
2000,10,f,0,157.4052765138257
2000,10,f,1,44.11358067903395
2000,10,f,5,35.09034826741337
2000,10,f,10,23.05937171858593
2000,10,f,15,85.21941722086105
2000,10,f,20,93.24006825341267
2000,10,f,25,122.31492824641232
2000,10,f,30,185.47755512775637
2000,10,f,35,273.7047164858243
2000,10,f,40,445.14613230661536
2000,10,f,45,638.6443384669234
2000,10,f,50,727.8740812040602
2000,10,f,55,813.0934984249212
2000,10,f,60,1694.3625306265312
2000,10,f,65,2101.4105705285265
2000,10,f,70,3648.3936384319218
2000,10,f,75,3454.8954322716136
2000,10,f,80,3034.813834441722
2000,10,f,85,3465.923827441372
2000,10,f,90,1491.8410920546028
2000,10,f,95,378.9757612880644
2000,10,f,TOT,22915.0
2000,10,f,UNK,59.0
2000,10,b,0,369.0
2000,10,b,1,114.0
2000,10,b,5,67.0
2000,10,b,10,68.0
2000,10,b,15,334.0
2000,10,b,20,580.0
2000,10,b,25,723.0
2000,10,b,30,828.0
2000,10,b,35,1354.0
2000,10,b,40,1964.0
2000,10,b,45,2513.0
2000,10,b,50,2723.0
2000,10,b,55,2535.0
2000,10,b,60,5043.0
2000,10,b,65,5060.0
2000,10,b,70,7108.0
2000,10,b,75,5153.0
2000,10,b,80,4122.0
2000,10,b,85,4370.0
2000,10,b,90,1788.0
2000,10,b,95,424.0
2000,10,b,TOT,47439.0
2000,10,b,UNK,199.0
2000,11,m,0,191.05564791320325
2000,11,m,1,43.23890979088284
2000,11,m,5,35.19446145769534
2000,11,m,10,47.261133957476595
2000,11,m,15,185.02231166331262
2000,11,m,20,442.4446583253128
2000,11,m,25,502.7780208242191
2000,11,m,30,591.2669524892816
2000,11,m,35,925.1115583165631
2000,11,m,40,1432.9173593490243
2000,11,m,45,1825.0842155919154
2000,11,m,50,1785.8675299676263
2000,11,m,55,1626.989675387173
2000,11,m,60,3303.2515968151192
2000,11,m,65,2799.468019949252
2000,11,m,70,3303.2515968151192
2000,11,m,75,1698.384154344212
2000,11,m,80,1080.972744772071
2000,11,m,85,834.6115145682037
2000,11,m,90,282.5612477032111
2000,11,m,95,48.266689999125035
2000,11,m,TOT,22985.0
2000,11,m,UNK,127.0
2000,11,f,0,162.3071729177265
2000,11,f,1,43.081533552236046
2000,11,f,5,22.041714840678907
2000,11,f,10,18.034130324191832
2000,11,f,15,66.12514452203672
2000,11,f,20,85.16117097535032
2000,11,f,25,119.22563936549045
2000,11,f,30,140.26545807704758
2000,11,f,35,236.44748647273735
2000,11,f,40,393.745178744855
2000,11,f,45,575.0883781158951
2000,11,f,50,647.2248994126625
2000,11,f,55,735.3917587753781
2000,11,f,60,1608.0432872404385
2000,11,f,65,1940.6728021088657
2000,11,f,70,3519.6611016047727
2000,11,f,75,3249.149146741895
2000,11,f,80,2946.576515747121
2000,11,f,85,3362.363409332655
2000,11,f,90,1442.7304259353466
2000,11,f,95,350.66364519261896
2000,11,f,TOT,21664.0
2000,11,f,UNK,41.0
2000,11,b,0,352.0
2000,11,b,1,86.0
2000,11,b,5,57.0
2000,11,b,10,65.0
2000,11,b,15,250.0
2000,11,b,20,525.0
2000,11,b,25,619.0
2000,11,b,30,728.0
2000,11,b,35,1156.0
2000,11,b,40,1818.0
2000,11,b,45,2389.0
2000,11,b,50,2422.0
2000,11,b,55,2352.0
2000,11,b,60,4890.0
2000,11,b,65,4721.0
2000,11,b,70,6798.0
2000,11,b,75,4932.0
2000,11,b,80,4016.0
2000,11,b,85,4186.0
2000,11,b,90,1721.0
2000,11,b,95,398.0
2000,11,b,TOT,44649.0
2000,11,b,UNK,168.0
2000,12,m,0,228.47088676423942
2000,12,m,1,62.401739997281254
2000,12,m,5,37.23974806289365
2000,12,m,10,67.43413838415877
2000,12,m,15,202.30241515247633
2000,12,m,20,441.8445783678463
2000,12,m,25,518.3370338483846
2000,12,m,30,582.7517332004169
2000,12,m,35,958.1686528614799
2000,12,m,40,1416.1169060673342
2000,12,m,45,1741.2098418596222
2000,12,m,50,1895.2012324980742
2000,12,m,55,1524.8167112238887
2000,12,m,60,3068.756536317912
2000,12,m,65,2681.261860528343
2000,12,m,70,3234.82568308487
2000,12,m,75,1542.9333454166479
2000,12,m,80,906.8381893153291
2000,12,m,85,821.2874167384114
