DaysToCase,2014,2015,2016,2017,2018
129,0.3975442550858306,0.39878012747456837,0.40042778620638203,0.3873021176325773,0.405454276880447
130,0.40216031695457005,0.3998353805242497,0.39318267098201587,0.40433725617771055,0.40789922729379646
131,0.40294842507850126,0.3900215271622135,0.39166876630826775,0.41587718874054275,0.40555614981433663
132,0.4097036375693394,0.3909712549069267,0.3970755687145111,0.3992816666739936,0.3960819669626075
133,0.4093658769447975,0.3926596597864168,0.4046450920832518,0.3859832681968251,0.4043336746076619
134,0.4045246413263635,0.40796082900679587,0.40410441184262746,0.40543629737417075,0.4154378244016239
135,0.39979599258277665,0.4078553037018277,0.41070071077824427,0.40653533857063096,0.4150303326660656
136,0.4057630969496838,0.3978303997298552,0.39772438500326035,0.41126121571540986,0.41411347626105954
137,0.4220881938025429,0.4188299354185134,0.40378000369825284,0.41774555877452507,0.4239951508483468
138,0.40981622444418675,0.41587522687940565,0.4011847385432561,0.4204931617656756,0.4273569576667023
139,0.4270420162958243,0.4097547591912541,0.40594272466075015,0.4308241490124016,0.41075166944270414
140,0.42580356067250397,0.4103879110210628,0.4228119481682295,0.41840498349240124,0.42521762605502156
141,0.4279427112946027,0.4246338271917606,0.42270381212010455,0.4288458748587732,0.4333674607661864
142,0.4442678081474618,0.42959351652526273,0.41621564923261256,0.42818645014089707,0.4360161570473149
143,0.43751259565662354,0.4330758515892111,0.4277862063819733,0.43379156024284415,0.43520117357619836
144,0.43818811690570736,0.42769406103583635,0.4281106145263479,0.4360995467554106,0.4527233182052027
145,0.4429167656492941,0.43930184458233085,0.432868600643842,0.44291360217346387,0.4424341518823571
146,0.4470824800186444,0.43856316744755386,0.434490641365715,0.44016599918231336,0.4542514122135461
147,0.4450559162713929,0.4425731290363429,0.45979447662693385,0.44961775347187116,0.44508284816348564
148,0.4592418625021532,0.452281457093411,0.4484401915738229,0.4591794118810749,0.46423495973472284
149,0.4595796231266951,0.46030138027098894,0.454063266076316,0.4663231796580663,0.4674948936191888
150,0.48401097496856016,0.45069857751888903,0.47536606755691474,0.4722580021189514,0.46413308680083337
151,0.5005612455711138,0.47380861930690976,0.4656338232256767,0.4711589609224912,0.47951589981815684
152,0.49054101370970377,0.4704318095479296,0.4668233197550502,0.47610464630656213,0.4858320217193095
153,0.47995784747405723,0.49005951627200206,0.4870447607544003,0.48555640059611993,0.47941402688426726
154,0.4959451837023744,0.48404457388881855,0.4884505293800236,0.4833583182031995,0.49000881200878144
155,0.48502425684218586,0.4719091638174834,0.4607677010600577,0.49291997661240333,0.4905181766782293
156,0.5007864193208084,0.48763243425773495,0.4747172512681655,0.48489697587824376,0.5017241994060808
157,0.5045017861907695,0.47539149888143173,0.48185423044440673,0.49039218186054484,0.4886844638682172
158,0.5181247980472933,0.4953357815204086,0.48650408051377597,0.5076471286449702,0.5011129618027435
159,0.5023626355686707,0.4953357815204086,0.5040221203100044,0.49346949721063343,0.5133377138694906
160,0.5194758405454609,0.4880545354776076,0.49439801202689126,0.502042018543023,0.5093646694477978
161,0.5198136011700027,0.49544130682537674,0.5058604331281272,0.5132522387469172,0.5149676808117235
162,0.518800319296377,0.5041999071377317,0.51169977972687,0.5094055945593065,0.5179219958945208
163,0.5376023273958769,0.49649655987505803,0.5006699028181336,0.5257813083865636,0.5295355103579306
164,0.5491987755051492,0.5148579629395129,0.5046709365987536,0.5085263616021383,0.5232193884567778
165,0.5757692779691129,0.5098982736060107,0.5142950448818667,0.5189672529685102,0.5316748419696113
166,0.5592190073665593,0.5112701025705965,0.5287852753305989,0.549190885871166,0.5270905599445811
