DaysToRequest,tail_coeffs,tail_coeffs_std
143,1.4580349242415178,0.04322770768076776
144,1.450156878021589,0.04279854369964342
145,1.4421654162845132,0.04235769972178235
146,1.4316747105318388,0.041814090879728975
147,1.4190069740656903,0.04086092943401031
148,1.4082582634867888,0.03979433083553545
149,1.3992716973460244,0.03892798131716796
150,1.3909505215354498,0.038290149439594516
151,1.3833068357617992,0.03792104179576127
152,1.3753857557021458,0.037462779489025946
153,1.3652421043382854,0.036903500512626905
154,1.353251715695044,0.036037597745695656
155,1.3429734629446124,0.03503409434798644
156,1.334457350245773,0.03414280384044678
157,1.3265429043197927,0.03363210484263129
158,1.3191894958364494,0.03315845218997256
159,1.3116049526077749,0.03273556983788066
160,1.301687212645578,0.03213988821909181
161,1.2901042792105568,0.031146501215153617
162,1.2802858273525464,0.030342755654799075
