Patronim,Sex,count
зайнулловна,0,668
нурмухаметович,1,666
мухтарович,1,666
мударисович,1,663
ахтямович,1,663
фридриховна,0,660
валерьяновна,0,656
христофорович,1,655
мусаевич,1,652
якупович,1,651
парфенович,1,651
сафронович,1,649
казимировна,0,646
халимович,1,644
нурулловна,0,641
аврамовна,0,640
рубенович,1,639
самигуллович,1,638
акрамович,1,635
гильмутдиновна,0,635
бариевна,0,633
нефедовна,0,632
талипович,1,631
валеевна,0,627
абдуллаевич,1,626
хайдаровна,0,626
гафурович,1,625
хазиевич,1,624
гиниятович,1,624
раисовна,0,622
евлампиевна,0,621
миниахметовна,0,619
абдурахманович,1,616
зиннатович,1,613
османович,1,612
сагитовна,0,611
ароновна,0,609
мунирович,1,609
ашотович,1,606
якимовна,0,606
гариповна,0,605
зариповна,0,604
зуфаровна,0,603
гурьяновна,0,602
юльевич,1,601
венедиктович,1,601
рауфович,1,600
шарифулловна,0,599
клавдиевич,1,598
шамилович,1,598
потапович,1,595
августович,1,590
габбасович,1,587
якубовна,0,586
садыковна,0,585
гургенович,1,584
самигулловна,0,583
саитович,1,578
радикович,1,577
карапетович,1,572
маликович,1,571
яновна,0,570
лутфулловна,0,570
аврамович,1,569
нурисламовна,0,569
наилович,1,569
ярославович,1,563
ростиславович,1,563
мазитович,1,563
агзамовна,0,562
августовна,0,562
калимуллович,1,561
гумарович,1,561
галимьяновна,0,561
калимулловна,0,561
нуриевич,1,560
нефедович,1,558
якуповна,0,557
абдулхаковна,0,557
янович,1,557
магометович,1,553
сабитович,1,553
арутюнович,1,552
валиахметович,1,544
агафоновна,0,543
сафиулловна,0,543
салимовна,0,543
якимович,1,543
климовна,0,542
загитовна,0,542
хазиевна,0,542
лутфуллович,1,541
аглямович,1,541
александр,1,540
радионовна,0,538
нагимович,1,537
ануфриевич,1,535
димитриевич,1,533
ларионовна,0,532
хабибрахманович,1,531
федотьевна,0,530
игорьевич,1,526
гурьянович,1,524
хамидович,1,524
ахмадуллович,1,523
дамирович,1,523
кононовна,0,522
акопович,1,521
фанисович,1,519
гиниятовна,0,516
сабирьянович,1,515
арамович,1,515
наилевич,1,514
габдулхакович,1,513
сафиуллович,1,513
ахмадулловна,0,513
зарифович,1,513
амировна,0,512
гаязовна,0,511
селиверстович,1,510
тимерханович,1,510
аршакович,1,509
феликсовна,0,509
левонович,1,509
валиахметовна,0,506
хабибрахмановна,0,505
хабирович,1,502
зиннурович,1,502
муратович,1,502
кабирович,1,500
варфоломеевич,1,500
калиновна,0,500
изосимовна,0,498
федосовна,0,497
курбановна,0,497
оганесович,1,496
изосимович,1,496
салахович,1,495
римович,1,494
карамович,1,494
зиннатовна,0,494
хамидуллович,1,493
умарович,1,491
шамсутдинович,1,491
андреяновна,0,491
рафкатович,1,491
кадырович,1,490
корниловна,0,490
антиповна,0,490
гайфуллович,1,490
венедиктовна,0,489
ерофеевна,0,488
халимовна,0,487
евстигнеевна,0,487
саввич,1,484
набиевич,1,483
епифановна,0,482
рахимьянович,1,479
омарович,1,479
салаховна,0,479
маратовна,0,478
арнольдович,1,478
рахматуллович,1,478
кызы,0,477
радионович,1,476
хамидулловна,0,474
нуриахметович,1,474
шарафутдинович,1,474
абдулхаевич,1,474
калистратовна,0,471
галлямович,1,471
фазылович,1,470
гареевич,1,470
равилевич,1,468
шамсутдиновна,0,466
салаватович,1,466
панфиловна,0,463
шарафутдиновна,0,462
ахтямовна,0,462
оолович,1,461
хабибович,1,460
ханифовна,0,459
сафинович,1,458
богданович,1,457
гафуровна,0,455
талиповна,0,454
нурлыгаянович,1,454
логиновна,0,452
нуриахметовна,0,452
хачатурович,1,450
клавдиевна,0,448
файзуллович,1,448
агафонович,1,446
саркисовна,0,444
сайфуллович,1,443
рахматулловна,0,443
климович,1,442
набиуллович,1,438
шарифьянович,1,438
хуснуллович,1,437
габбасовна,0,437
евлампиевич,1,436
феодосьевна,0,436
зарифовна,0,435
аюпович,1,434
латыпович,1,433
кононович,1,433
галиулловна,0,432
вагизовна,0,431
габдулхаевич,1,431
искандарович,1,430
шайхутдинович,1,430
